Message ID,Thread ID,User ID,Organisation ID,Timestamp,Message Type
MSG001537,THR00401,USR0046,ORG016,2026-04-07 21:21,question
MSG005230,THR01250,USR0030,ORG011,2026-08-12 07:10,assistant_response
MSG003255,THR00804,USR0250,ORG076,2026-06-22 20:08,question
MSG004757,THR01146,USR0085,ORG028,2026-08-23 07:42,question
MSG004142,THR01015,USR0074,ORG024,2026-07-04 12:17,assistant_response
MSG000526,THR00141,USR0090,ORG029,2026-02-14 13:11,assistant_response
MSG000827,THR00227,USR0169,ORG050,2026-03-15 17:27,question
MSG004874,THR01170,USR0009,ORG004,2026-08-30 11:44,assistant_response
MSG001791,THR00464,USR0161,ORG048,2026-04-01 14:42,question
MSG000467,THR00128,USR0167,ORG050,2026-02-22 22:33,question
MSG003270,THR00806,USR0093,ORG030,2026-06-15 20:41,assistant_response
MSG001777,THR00461,USR0054,ORG018,2026-04-14 22:51,question
MSG004671,THR01132,USR0067,ORG022,2026-08-16 13:28,question
MSG004536,THR01099,USR0252,ORG076,2026-08-04 20:31,assistant_response
MSG000412,THR00115,USR0259,ORG077,2026-02-15 15:52,assistant_response
MSG004678,THR01134,USR0217,ORG064,2026-08-15 22:48,assistant_response
MSG000437,THR00120,USR0154,ORG047,2026-02-19 17:32,question
MSG003097,THR00769,USR0051,ORG017,2026-06-27 11:13,question
MSG001615,THR00419,USR0097,ORG031,2026-04-05 14:57,question
MSG001123,THR00297,USR0256,ORG077,2026-03-21 09:39,question
MSG004235,THR01032,USR0094,ORG031,2026-07-13 19:54,question
MSG004133,THR01014,USR0161,ORG048,2026-07-11 19:51,question
MSG000420,THR00115,USR0259,ORG077,2026-02-15 15:56,assistant_response
MSG002894,THR00720,USR0099,ORG032,2026-06-08 08:26,assistant_response
MSG005073,THR01208,USR0115,ORG037,2026-08-23 14:33,question
MSG001991,THR00508,USR0021,ORG008,2026-05-22 17:39,question
MSG003327,THR00817,USR0043,ORG015,2026-06-05 10:04,question
MSG001519,THR00396,USR0206,ORG061,2026-04-02 19:58,question
MSG000199,THR00058,USR0235,ORG069,2026-01-03 10:55,question
MSG001364,THR00356,USR0245,ORG074,2026-04-01 17:58,assistant_response
MSG002707,THR00685,USR0006,ORG003,2026-06-21 19:03,question
MSG001221,THR00324,USR0158,ORG047,2026-03-04 13:37,question
MSG002345,THR00599,USR0066,ORG022,2026-05-02 20:30,question
MSG000179,THR00054,USR0075,ORG024,2026-01-05 08:32,question
MSG000675,THR00185,USR0112,ORG036,2026-02-16 13:59,question
MSG001104,THR00293,USR0197,ORG058,2026-03-12 20:32,assistant_response
MSG004477,THR01086,USR0155,ORG047,2026-08-25 21:10,question
MSG002814,THR00706,USR0157,ORG047,2026-06-11 22:37,assistant_response
MSG002571,THR00658,USR0135,ORG042,2026-05-18 18:29,question
MSG000143,THR00044,USR0122,ORG039,2026-01-15 16:50,question
MSG001163,THR00307,USR0084,ORG027,2026-03-16 18:33,question
MSG005075,THR01209,USR0170,ORG050,2026-08-26 19:13,question
MSG001801,THR00466,USR0198,ORG059,2026-04-05 08:00,question
MSG003247,THR00802,USR0097,ORG031,2026-06-18 20:02,question
MSG000680,THR00186,USR0061,ORG020,2026-02-24 22:58,assistant_response
MSG003470,THR00854,USR0022,ORG008,2026-06-13 10:13,assistant_response
MSG004336,THR01053,USR0021,ORG008,2026-07-15 18:45,assistant_response
MSG002579,THR00660,USR0187,ORG055,2026-05-25 14:34,question
MSG005322,THR01271,USR0018,ORG007,2026-08-29 13:28,assistant_response
MSG002078,THR00527,USR0035,ORG013,2026-05-09 10:15,assistant_response
MSG003025,THR00755,USR0035,ORG013,2026-06-10 16:33,question
MSG002897,THR00720,USR0099,ORG032,2026-06-08 08:34,question
MSG003418,THR00839,USR0133,ORG042,2026-06-27 15:11,assistant_response
MSG001668,THR00436,USR0008,ORG004,2026-04-29 17:49,assistant_response
MSG000689,THR00189,USR0255,ORG077,2026-02-15 11:05,question
MSG003380,THR00827,USR0022,ORG008,2026-06-04 18:54,assistant_response
MSG002248,THR00574,USR0261,ORG078,2026-05-13 17:51,assistant_response
MSG005248,THR01254,USR0235,ORG069,2026-08-09 13:00,assistant_response
MSG003947,THR00969,USR0053,ORG018,2026-07-24 12:04,question
MSG000116,THR00038,USR0048,ORG016,2026-01-21 20:32,assistant_response
MSG004560,THR01105,USR0054,ORG018,2026-08-23 09:20,assistant_response
MSG002518,THR00644,USR0128,ORG041,2026-05-13 21:15,assistant_response
MSG002625,THR00670,USR0098,ORG031,2026-06-07 14:41,question
MSG004374,THR01062,USR0029,ORG011,2026-07-24 09:35,assistant_response
MSG001920,THR00495,USR0262,ORG078,2026-04-26 16:48,assistant_response
MSG002442,THR00624,USR0018,ORG007,2026-05-22 19:16,assistant_response
MSG001270,THR00333,USR0156,ORG047,2026-03-27 08:15,assistant_response
MSG001989,THR00508,USR0021,ORG008,2026-05-22 17:30,question
MSG002499,THR00639,USR0005,ORG002,2026-05-08 09:09,question
MSG004213,THR01027,USR0095,ORG031,2026-07-21 21:50,question
MSG003601,THR00887,USR0077,ORG025,2026-07-30 07:26,question
MSG003496,THR00859,USR0055,ORG018,2026-07-04 22:39,assistant_response
MSG004043,THR00994,USR0104,ORG033,2026-07-16 09:56,question
MSG000716,THR00194,USR0252,ORG076,2026-02-15 12:48,assistant_response
MSG000668,THR00184,USR0021,ORG008,2026-02-28 09:18,assistant_response
MSG005240,THR01252,USR0036,ORG014,2026-08-13 13:22,assistant_response
MSG005357,THR01280,USR0206,ORG061,2026-08-21 17:00,question
MSG003196,THR00790,USR0176,ORG053,2026-06-18 14:11,assistant_response
MSG001092,THR00291,USR0078,ORG025,2026-03-30 20:39,assistant_response
MSG001010,THR00275,USR0138,ORG043,2026-03-21 20:24,assistant_response
MSG005198,THR01242,USR0066,ORG022,2026-08-10 07:37,assistant_response
MSG003422,THR00840,USR0103,ORG033,2026-06-20 19:13,assistant_response
MSG001289,THR00337,USR0032,ORG012,2026-03-27 14:08,question
MSG005078,THR01210,USR0004,ORG002,2026-08-12 07:04,assistant_response
MSG000979,THR00267,USR0053,ORG018,2026-03-24 14:19,question
MSG001111,THR00294,USR0044,ORG016,2026-03-08 17:07,question
MSG003373,THR00825,USR0200,ORG059,2026-06-16 15:10,question
MSG000911,THR00247,USR0090,ORG029,2026-03-18 12:21,question
MSG000357,THR00103,USR0208,ORG061,2026-02-10 21:04,question
MSG003167,THR00785,USR0058,ORG019,2026-06-12 22:36,question
MSG005120,THR01223,USR0034,ORG013,2026-08-06 20:08,assistant_response
MSG000235,THR00069,USR0243,ORG073,2026-01-09 08:51,question
MSG004330,THR01052,USR0019,ORG007,2026-07-16 15:10,assistant_response
MSG005119,THR01223,USR0034,ORG013,2026-08-06 20:08,question
MSG004831,THR01164,USR0238,ORG071,2026-08-31 16:50,question
MSG005363,THR01282,USR0112,ORG036,2026-08-14 16:49,question
MSG000061,THR00023,USR0253,ORG076,2026-01-15 21:49,question
MSG004274,THR01039,USR0097,ORG031,2026-07-14 12:32,assistant_response
MSG001047,THR00280,USR0025,ORG009,2026-03-02 10:40,question
MSG002113,THR00539,USR0149,ORG046,2026-05-05 21:32,question
MSG000859,THR00233,USR0210,ORG062,2026-03-22 22:08,question
MSG004698,THR01136,USR0109,ORG035,2026-08-15 22:05,assistant_response
MSG001082,THR00289,USR0071,ORG023,2026-03-13 11:42,assistant_response
MSG002878,THR00717,USR0137,ORG043,2026-06-20 14:38,assistant_response
MSG002270,THR00582,USR0205,ORG060,2026-05-12 19:25,assistant_response
MSG002845,THR00713,USR0070,ORG023,2026-06-14 11:41,question
MSG004707,THR01138,USR0079,ORG025,2026-08-04 18:22,question
MSG003469,THR00854,USR0022,ORG008,2026-06-13 10:13,question
MSG003457,THR00850,USR0200,ORG059,2026-06-29 10:41,question
MSG003821,THR00937,USR0133,ORG042,2026-07-21 22:59,question
MSG001760,THR00457,USR0225,ORG065,2026-04-20 15:56,assistant_response
MSG001226,THR00324,USR0158,ORG047,2026-03-04 13:39,assistant_response
MSG002628,THR00671,USR0213,ORG063,2026-06-24 10:49,assistant_response
MSG000255,THR00077,USR0223,ORG065,2026-01-09 08:04,question
MSG001976,THR00506,USR0112,ORG036,2026-05-31 22:35,assistant_response
MSG001303,THR00341,USR0026,ORG010,2026-03-06 20:53,question
MSG003163,THR00784,USR0170,ORG050,2026-06-26 17:33,question
MSG002757,THR00697,USR0044,ORG016,2026-06-04 08:22,question
MSG003654,THR00898,USR0035,ORG013,2026-07-18 13:13,assistant_response
MSG003316,THR00815,USR0156,ORG047,2026-06-24 15:05,assistant_response
MSG004747,THR01145,USR0174,ORG052,2026-08-18 08:45,question
MSG001282,THR00335,USR0154,ORG047,2026-03-09 12:21,assistant_response
MSG004276,THR01040,USR0231,ORG068,2026-07-30 14:23,assistant_response
MSG003354,THR00823,USR0177,ORG053,2026-06-02 15:48,assistant_response
MSG002346,THR00599,USR0066,ORG022,2026-05-02 20:30,assistant_response
MSG004927,THR01180,USR0117,ORG038,2026-08-29 15:24,question
MSG002275,THR00584,USR0179,ORG054,2026-05-12 15:14,question
MSG003174,THR00786,USR0066,ORG022,2026-06-17 10:25,assistant_response
MSG002279,THR00585,USR0207,ORG061,2026-05-19 07:16,question
MSG001242,THR00327,USR0202,ORG060,2026-03-03 08:27,assistant_response
MSG003289,THR00811,USR0144,ORG044,2026-06-15 09:35,question
MSG001744,THR00453,USR0052,ORG017,2026-04-29 15:41,assistant_response
MSG000820,THR00225,USR0254,ORG076,2026-03-20 13:29,assistant_response
MSG000149,THR00045,USR0123,ORG039,2026-01-10 23:07,question
MSG001827,THR00473,USR0156,ORG047,2026-04-29 13:41,question
MSG002258,THR00578,USR0267,ORG080,2026-05-10 08:49,assistant_response
MSG005156,THR01236,USR0141,ORG044,2026-08-07 11:59,assistant_response
MSG001324,THR00348,USR0164,ORG049,2026-04-20 14:04,assistant_response
MSG000611,THR00165,USR0216,ORG064,2026-02-12 19:28,question
MSG005023,THR01199,USR0261,ORG078,2026-08-09 18:26,question
MSG002770,THR00699,USR0170,ORG050,2026-06-07 13:16,assistant_response
MSG002283,THR00587,USR0263,ORG079,2026-05-31 15:56,question
MSG002982,THR00742,USR0153,ORG046,2026-06-11 09:03,assistant_response
MSG004988,THR01190,USR0225,ORG065,2026-08-25 10:40,assistant_response
MSG001449,THR00379,USR0103,ORG033,2026-04-04 07:13,question
MSG004110,THR01009,USR0091,ORG029,2026-07-21 08:46,assistant_response
MSG005080,THR01211,USR0059,ORG020,2026-08-05 16:28,assistant_response
MSG002234,THR00570,USR0142,ORG044,2026-05-22 19:48,assistant_response
MSG000708,THR00192,USR0079,ORG025,2026-02-07 17:14,assistant_response
MSG000658,THR00180,USR0116,ORG037,2026-02-10 11:51,assistant_response
MSG004341,THR01055,USR0146,ORG045,2026-07-06 12:47,question
MSG004034,THR00992,USR0051,ORG017,2026-07-26 22:09,assistant_response
MSG002163,THR00552,USR0170,ORG050,2026-05-24 10:32,question
MSG002154,THR00548,USR0265,ORG079,2026-05-13 19:07,assistant_response
MSG001230,THR00325,USR0144,ORG044,2026-03-03 08:58,assistant_response
MSG002830,THR00708,USR0132,ORG042,2026-06-29 20:02,assistant_response
MSG004961,THR01186,USR0116,ORG037,2026-08-23 20:06,question
MSG004149,THR01016,USR0029,ORG011,2026-07-16 18:44,question
MSG004799,THR01157,USR0104,ORG033,2026-08-08 14:31,question
MSG000925,THR00250,USR0110,ORG036,2026-03-07 15:49,question
MSG001232,THR00326,USR0267,ORG080,2026-03-14 18:29,assistant_response
MSG000500,THR00136,USR0056,ORG018,2026-02-20 14:15,assistant_response
MSG001738,THR00452,USR0057,ORG019,2026-04-27 22:11,assistant_response
MSG003169,THR00785,USR0058,ORG019,2026-06-12 22:35,question
MSG001714,THR00446,USR0079,ORG025,2026-04-07 07:19,assistant_response
MSG002421,THR00618,USR0231,ORG068,2026-05-14 12:29,question
MSG003518,THR00864,USR0021,ORG008,2026-07-05 10:54,assistant_response
MSG000364,THR00105,USR0161,ORG048,2026-02-28 17:46,assistant_response
MSG003629,THR00891,USR0009,ORG004,2026-07-16 16:15,question
MSG003997,THR00983,USR0241,ORG072,2026-07-16 12:32,question
MSG002713,THR00687,USR0026,ORG010,2026-06-22 19:28,question
MSG003932,THR00965,USR0234,ORG069,2026-07-20 16:55,assistant_response
MSG005153,THR01236,USR0141,ORG044,2026-08-07 11:54,question
MSG003336,THR00819,USR0078,ORG025,2026-06-22 21:23,assistant_response
MSG000155,THR00048,USR0071,ORG023,2026-01-28 15:03,question
MSG003138,THR00774,USR0081,ORG026,2026-06-09 10:20,assistant_response
MSG002253,THR00576,USR0075,ORG024,2026-05-16 20:05,question
MSG002004,THR00510,USR0152,ORG046,2026-05-29 13:22,assistant_response
MSG000937,THR00252,USR0059,ORG020,2026-03-09 22:49,question
MSG001136,THR00300,USR0111,ORG036,2026-03-02 08:50,assistant_response
MSG002005,THR00511,USR0004,ORG002,2026-05-21 09:13,question
MSG001923,THR00496,USR0161,ORG048,2026-05-31 08:05,question
MSG001988,THR00508,USR0021,ORG008,2026-05-22 17:28,assistant_response
MSG002252,THR00575,USR0027,ORG010,2026-05-06 19:40,assistant_response
MSG005213,THR01246,USR0097,ORG031,2026-08-16 10:21,question
MSG001450,THR00379,USR0103,ORG033,2026-04-04 07:13,assistant_response
MSG003181,THR00787,USR0037,ORG014,2026-06-26 16:34,question
MSG001166,THR00308,USR0133,ORG042,2026-03-06 18:08,assistant_response
MSG004024,THR00988,USR0160,ORG048,2026-07-19 10:00,assistant_response
MSG001391,THR00360,USR0166,ORG050,2026-04-05 13:04,question
MSG001228,THR00324,USR0158,ORG047,2026-03-04 13:57,assistant_response
MSG003141,THR00776,USR0146,ORG045,2026-06-19 14:10,question
MSG000275,THR00084,USR0199,ORG059,2026-01-30 10:20,question
MSG003795,THR00930,USR0210,ORG062,2026-07-21 15:26,question
MSG001080,THR00289,USR0071,ORG023,2026-03-13 11:41,assistant_response
MSG005060,THR01205,USR0097,ORG031,2026-08-22 22:56,assistant_response
MSG001512,THR00394,USR0177,ORG053,2026-04-29 20:16,assistant_response
MSG001560,THR00405,USR0185,ORG055,2026-04-23 13:17,assistant_response
MSG004656,THR01128,USR0120,ORG038,2026-08-12 16:18,assistant_response
MSG001006,THR00273,USR0065,ORG021,2026-03-23 11:15,assistant_response
MSG001971,THR00505,USR0207,ORG061,2026-05-03 18:23,question
MSG002785,THR00702,USR0139,ORG043,2026-06-02 22:05,question
MSG003829,THR00940,USR0185,ORG055,2026-07-14 18:03,question
MSG000491,THR00133,USR0195,ORG057,2026-02-13 18:55,question
MSG000306,THR00093,USR0038,ORG014,2026-01-05 17:41,assistant_response
MSG001350,THR00354,USR0073,ORG024,2026-04-19 13:53,assistant_response
MSG001929,THR00497,USR0227,ORG066,2026-05-27 15:04,question
MSG003345,THR00821,USR0044,ORG016,2026-06-05 11:53,question
MSG003000,THR00748,USR0030,ORG011,2026-06-04 09:37,assistant_response
MSG001439,THR00375,USR0106,ORG034,2026-04-07 20:49,question
MSG001845,THR00477,USR0268,ORG080,2026-04-12 10:16,question
MSG002711,THR00686,USR0164,ORG049,2026-06-18 11:22,question
MSG002335,THR00598,USR0141,ORG044,2026-05-16 12:48,question
MSG003565,THR00879,USR0224,ORG065,2026-07-05 13:59,question
MSG000148,THR00045,USR0123,ORG039,2026-01-10 23:03,assistant_response
MSG003648,THR00896,USR0029,ORG011,2026-07-17 18:56,assistant_response
MSG002294,THR00590,USR0015,ORG006,2026-05-16 10:16,assistant_response
MSG002868,THR00715,USR0211,ORG062,2026-06-10 21:53,assistant_response
MSG000858,THR00232,USR0108,ORG035,2026-03-15 17:00,assistant_response
MSG003717,THR00913,USR0079,ORG025,2026-07-06 14:07,question
MSG001678,THR00438,USR0067,ORG022,2026-04-04 19:33,assistant_response
MSG001041,THR00279,USR0146,ORG045,2026-03-11 11:36,question
MSG000178,THR00054,USR0075,ORG024,2026-01-05 08:24,assistant_response
MSG001702,THR00443,USR0020,ORG008,2026-04-13 15:54,assistant_response
MSG002627,THR00671,USR0213,ORG063,2026-06-24 10:49,question
MSG000460,THR00124,USR0088,ORG029,2026-02-17 19:19,assistant_response
MSG004662,THR01129,USR0072,ORG024,2026-08-23 19:33,assistant_response
MSG004491,THR01090,USR0222,ORG065,2026-08-14 22:52,question
MSG000457,THR00124,USR0088,ORG029,2026-02-17 19:10,question
MSG002053,THR00522,USR0192,ORG057,2026-05-31 07:37,question
MSG001852,THR00479,USR0202,ORG060,2026-04-07 21:52,assistant_response
MSG005277,THR01259,USR0094,ORG031,2026-08-23 10:25,question
MSG002099,THR00535,USR0072,ORG024,2026-05-29 13:16,question
MSG005164,THR01237,USR0005,ORG002,2026-08-25 16:26,assistant_response
MSG004926,THR01180,USR0117,ORG038,2026-08-29 15:18,assistant_response
MSG003646,THR00895,USR0139,ORG043,2026-07-23 14:02,assistant_response
MSG004082,THR01003,USR0154,ORG047,2026-07-28 20:26,assistant_response
MSG004187,THR01021,USR0131,ORG041,2026-07-10 10:03,question
MSG004681,THR01134,USR0217,ORG064,2026-08-15 23:01,question
MSG000545,THR00145,USR0235,ORG069,2026-02-21 15:45,question
MSG001686,THR00440,USR0173,ORG052,2026-04-14 11:24,assistant_response
MSG001891,THR00488,USR0068,ORG022,2026-04-23 12:35,question
MSG002545,THR00650,USR0125,ORG040,2026-05-01 08:47,question
MSG003567,THR00879,USR0224,ORG065,2026-07-05 14:03,question
MSG003542,THR00872,USR0077,ORG025,2026-07-22 22:31,assistant_response
MSG003442,THR00847,USR0247,ORG074,2026-06-04 18:22,assistant_response
MSG004977,THR01188,USR0129,ORG041,2026-08-08 10:30,question
MSG000252,THR00076,USR0228,ORG066,2026-01-12 21:02,assistant_response
MSG003904,THR00960,USR0259,ORG077,2026-07-28 22:27,assistant_response
MSG001272,THR00334,USR0128,ORG041,2026-03-31 18:25,assistant_response
MSG001814,THR00468,USR0252,ORG076,2026-04-11 14:36,assistant_response
MSG001236,THR00326,USR0267,ORG080,2026-03-14 18:31,assistant_response
MSG000824,THR00226,USR0004,ORG002,2026-03-31 19:28,assistant_response
MSG000009,THR00005,USR0081,ORG026,2026-01-12 16:46,question
MSG002581,THR00661,USR0199,ORG059,2026-05-07 22:49,question
MSG001255,THR00331,USR0239,ORG071,2026-03-11 20:07,question
MSG003206,THR00792,USR0091,ORG029,2026-06-10 19:11,assistant_response
MSG001200,THR00319,USR0160,ORG048,2026-03-11 09:35,assistant_response
MSG004228,THR01030,USR0164,ORG049,2026-07-15 22:57,assistant_response
MSG002700,THR00683,USR0154,ORG047,2026-06-02 19:11,assistant_response
MSG005278,THR01259,USR0094,ORG031,2026-08-23 10:25,assistant_response
MSG003872,THR00950,USR0073,ORG024,2026-07-23 14:19,assistant_response
MSG001633,THR00426,USR0115,ORG037,2026-04-24 16:29,question
MSG001830,THR00473,USR0156,ORG047,2026-04-29 13:44,assistant_response
MSG001436,THR00374,USR0016,ORG006,2026-04-14 12:47,assistant_response
MSG004345,THR01056,USR0109,ORG035,2026-07-19 07:33,question
MSG000131,THR00041,USR0020,ORG008,2026-01-22 18:01,question
MSG000922,THR00249,USR0015,ORG006,2026-03-24 13:29,assistant_response
MSG000736,THR00200,USR0009,ORG004,2026-02-17 20:53,assistant_response
MSG002582,THR00661,USR0199,ORG059,2026-05-07 22:49,assistant_response
MSG004270,THR01039,USR0097,ORG031,2026-07-14 12:29,assistant_response
MSG000236,THR00069,USR0243,ORG073,2026-01-09 08:51,assistant_response
MSG000117,THR00039,USR0159,ORG048,2026-01-06 13:21,question
MSG002291,THR00589,USR0174,ORG052,2026-05-31 21:43,question
MSG002602,THR00665,USR0132,ORG042,2026-05-02 18:15,assistant_response
MSG004227,THR01030,USR0164,ORG049,2026-07-15 22:57,question
MSG002146,THR00547,USR0194,ORG057,2026-05-12 09:33,assistant_response
MSG003853,THR00946,USR0097,ORG031,2026-07-26 10:26,question
MSG002120,THR00540,USR0258,ORG077,2026-05-01 15:00,assistant_response
MSG003237,THR00800,USR0202,ORG060,2026-06-21 17:45,question
MSG001363,THR00356,USR0245,ORG074,2026-04-01 17:58,question
MSG003973,THR00977,USR0267,ORG080,2026-07-25 22:50,question
MSG001418,THR00369,USR0212,ORG062,2026-04-16 19:29,assistant_response
MSG004311,THR01049,USR0145,ORG044,2026-07-29 15:44,question
MSG001474,THR00386,USR0215,ORG063,2026-04-18 22:38,assistant_response
MSG000370,THR00105,USR0161,ORG048,2026-02-28 18:07,assistant_response
MSG001352,THR00354,USR0073,ORG024,2026-04-19 13:58,assistant_response
MSG000930,THR00252,USR0059,ORG020,2026-03-09 22:33,assistant_response
MSG000325,THR00098,USR0129,ORG041,2026-01-07 15:08,question
MSG002887,THR00719,USR0241,ORG072,2026-06-23 18:15,question
MSG001908,THR00493,USR0032,ORG012,2026-04-23 16:13,assistant_response
MSG003295,THR00811,USR0144,ORG044,2026-06-15 09:57,question
MSG002678,THR00681,USR0048,ORG016,2026-06-19 19:37,assistant_response
MSG002085,THR00530,USR0157,ORG047,2026-05-23 11:36,question
MSG004420,THR01075,USR0130,ORG041,2026-08-12 15:37,assistant_response
MSG001981,THR00507,USR0178,ORG053,2026-05-15 14:57,question
MSG002689,THR00682,USR0248,ORG075,2026-06-06 23:06,question
MSG000623,THR00167,USR0202,ORG060,2026-02-17 12:00,question
MSG000329,THR00099,USR0048,ORG016,2026-01-17 12:37,question
MSG003743,THR00918,USR0152,ORG046,2026-07-16 17:09,question
MSG004611,THR01116,USR0085,ORG028,2026-08-14 08:29,question
MSG004894,THR01174,USR0005,ORG002,2026-08-04 21:24,assistant_response
MSG003977,THR00978,USR0255,ORG077,2026-07-16 15:34,question
MSG001620,THR00421,USR0255,ORG077,2026-04-10 15:58,assistant_response
MSG003628,THR00891,USR0009,ORG004,2026-07-16 16:10,assistant_response
MSG004635,THR01123,USR0160,ORG048,2026-08-17 17:49,question
MSG001916,THR00494,USR0232,ORG068,2026-04-04 14:49,assistant_response
MSG002774,THR00700,USR0248,ORG075,2026-06-20 11:48,assistant_response
MSG000567,THR00153,USR0189,ORG056,2026-02-20 14:16,question
MSG002924,THR00729,USR0028,ORG011,2026-06-23 11:44,assistant_response
MSG004543,THR01102,USR0059,ORG020,2026-08-20 14:10,question
MSG001856,THR00479,USR0202,ORG060,2026-04-07 21:54,assistant_response
MSG000805,THR00221,USR0212,ORG062,2026-03-13 09:46,question
MSG000898,THR00244,USR0179,ORG054,2026-03-16 10:28,assistant_response
MSG005047,THR01204,USR0028,ORG011,2026-08-14 18:14,question
MSG003955,THR00971,USR0256,ORG077,2026-07-09 15:54,question
MSG003803,THR00933,USR0238,ORG071,2026-07-08 07:50,question
MSG005087,THR01215,USR0052,ORG017,2026-08-01 11:24,question
MSG001510,THR00393,USR0052,ORG017,2026-04-30 10:50,assistant_response
MSG004231,THR01031,USR0168,ORG050,2026-07-26 16:12,question
MSG000959,THR00261,USR0259,ORG077,2026-03-21 22:32,question
MSG000478,THR00130,USR0136,ORG043,2026-02-20 22:18,assistant_response
MSG002401,THR00615,USR0173,ORG052,2026-05-14 20:00,question
MSG001774,THR00460,USR0086,ORG028,2026-04-04 11:44,assistant_response
MSG004156,THR01016,USR0029,ORG011,2026-07-16 18:56,assistant_response
MSG002274,THR00583,USR0036,ORG014,2026-05-30 09:35,assistant_response
MSG000304,THR00092,USR0246,ORG074,2026-01-17 20:49,assistant_response
MSG002409,THR00617,USR0203,ORG060,2026-05-09 21:55,question
MSG000371,THR00105,USR0161,ORG048,2026-02-28 17:58,question
MSG003082,THR00766,USR0192,ORG057,2026-06-26 08:49,assistant_response
MSG004559,THR01105,USR0054,ORG018,2026-08-23 09:20,question
MSG000039,THR00015,USR0236,ORG070,2026-01-30 09:55,question
MSG000055,THR00022,USR0102,ORG033,2026-01-06 11:48,question
MSG002042,THR00518,USR0024,ORG009,2026-05-23 09:34,assistant_response
MSG002266,THR00580,USR0262,ORG078,2026-05-17 14:39,assistant_response
MSG001325,THR00348,USR0164,ORG049,2026-04-20 14:03,question
MSG001947,THR00500,USR0220,ORG064,2026-05-09 15:08,question
MSG003557,THR00878,USR0212,ORG062,2026-07-28 13:28,question
MSG004664,THR01129,USR0072,ORG024,2026-08-23 19:36,assistant_response
MSG003595,THR00886,USR0008,ORG004,2026-07-24 20:55,question
MSG003544,THR00873,USR0023,ORG008,2026-07-02 18:18,assistant_response
MSG004981,THR01189,USR0028,ORG011,2026-08-27 17:40,question
MSG001684,THR00440,USR0173,ORG052,2026-04-14 11:21,assistant_response
MSG000219,THR00063,USR0009,ORG004,2026-01-12 09:22,question
MSG004066,THR00997,USR0244,ORG073,2026-07-14 13:37,assistant_response
MSG005231,THR01251,USR0201,ORG059,2026-08-06 10:08,question
MSG003309,THR00814,USR0151,ORG046,2026-06-10 12:02,question
MSG002990,THR00745,USR0154,ORG047,2026-06-11 18:57,assistant_response
MSG003009,THR00750,USR0067,ORG022,2026-06-20 22:37,question
MSG001042,THR00279,USR0146,ORG045,2026-03-11 11:36,assistant_response
MSG002060,THR00524,USR0177,ORG053,2026-05-07 20:57,assistant_response
MSG000738,THR00200,USR0009,ORG004,2026-02-17 21:06,assistant_response
MSG002333,THR00597,USR0022,ORG008,2026-05-28 22:28,question
MSG001729,THR00450,USR0210,ORG062,2026-04-10 12:08,question
MSG004359,THR01060,USR0246,ORG074,2026-07-15 15:38,question
MSG005162,THR01237,USR0005,ORG002,2026-08-25 16:22,assistant_response
MSG000540,THR00144,USR0259,ORG077,2026-02-15 15:12,assistant_response
MSG000702,THR00191,USR0075,ORG024,2026-02-01 15:41,assistant_response
